review;title;rating;recommended;sentiment
✅ Trip Verified | Tried booking 3 tickets on Air Canada website which said an error has occurred. My card was charged but I did not receive a valid ticket number. The reservation temporarily appeared but also later disappeared off my account. No response from Air Canada - where is my tickets or my money? I tried calling and emailing Air Canada with no response.;"""No response from Air Canada""";"
2
";no;0
✅ Trip Verified |  Flew Business Class with my wife from Dubai to Miami via Toronto. Arrived in Miami on 22nd December 2022 but Air Canada had lost both of our bags. We completed a lost bags form and were told we'd be contacted within 24hrs. Problem was that we were going on a cruise to the Caribbean departing on 24th December. On 23rd December the bags were no where in sight so we made the decision to go and buy new clothes. Three days into the cruise we were told by Air Canada that our bags had arrived in Sao Paolo. When we checked in at Miami airport to return to Dubai our bags were given back to us. I have registered a compensation claim as we spent USD 3k on new clothes and luggage but received no response. I will never ever travel with Air Canada again. ;"""we spent USD 3k on new clothes""";"1
";no;0
✅ Trip Verified |  Besides losing my baggage, I arrived 5 hours late to the final destination. After filling all the reclamation and refund forms (process Air Canada definitively does not make easy if you are not living in Canada or the US), I never got an answer, even after almost 2 months. ;"""I never got an answer"" ";"1
";no;0
✅ Trip Verified |  Air Canada is the only airline flying non-stop from North America to Bangkok and this route appears to be a winner for them. The flight left on time late in the day and arrived in the early morning. Standard pod-style seating in the business class which allows one to sleep comfortably on this long (almost 16 hour) flight. Meals were very good, an area in which AC has made significant strides. I opted not to have a large meal immediately after take-off, but rather after sleeping, which was accommodated. This airline has an excellent selection of films in a number of different languages and from a variety of countries. Cabin crew was attentive. All in all, a very positive experience.;"""a very positive experience""";"
9
";yes;2
"✅ Trip Verified |  Bereavement Policy is a scam. First sentence of their bereavement policy is ""Our bereavement policy offers reduced fares and the flexibility you need during a difficult time."" But when I called customer support after I booked through bereavement policy they said they do not guarantee the lowest rate for bereavement fare. It's disgusting that I have to provide all this info to them (death certificate, info on funeral) and what do I get? An extra bag of peanuts for my troubles? I'm flying to Halifax instead of my actual destination of Charlottetown as it is $1000 round trip vs $1800 and then I look up a rates for round trip to Halifax on my own afterwards and what do you know $900, all the same days.";"""Bereavement Policy is a scam""";"
1
";no;0
✅ Trip Verified | Consistently no coffee on flights. This is not the first time it happening, I would say In my last 10 trips I have only been given coffee once. The more frustrating part is you are told “coffee maker is broken” or “we are brewing a fresh pot and will get back to you” never to receive or be offered an alternative. It’s frustrating, if you are not going to provide it just say so! Secondly, I was charged for a seat that I did not order, but couldn’t receive my boarding pass without paying for it, told to apply for the $ return online and given a website. Did so, received an acknowledgement that the request received and then that was it. probably costs about .30 cents to provide your customer a coffee, and to charge for a seat is ridiculous in the first place, but who knows maybe my $40 will break your bank Air Canada.;"""Consistently no coffee on flights""";"
2
";no;0
✅ Trip Verified |  I flew on Air Canada from Montreal  to Bridgetown via Toronto. Normally I don’t really recommend flying with Air Canada but in this case I really enjoyed it. Total flight time including connections was around eight hours but everything went smooth. The flight attendants were very nice and caring. The food selection was very broad and surprisingly for the first time ever there was no delays on both flights. at the end, I really enjoyed our family time in Barbados. If you want to take it easy flights, I recommend flying with Air Canada.;"""I really enjoyed it""";"
7
";yes;2
"✅ Trip Verified |  After a multi-year hiatus from flying Air Canada due to poor past performance, we we absolutely astonished. This is not the Air Canada of yesteryear; this felt like a brand-new airline. Gate agents were smiling, in-flight team was excellent, seat pitch was fine and seat comfort excellent, even for my 6’2” frame. Food was excellent and well-priced. IFE was superb and the Thales multi-featured moving map is outstanding. Great job AC.";"""like a brand-new airline"" ";"
10
";yes;2
Not Verified | Poor service paid $300 CAD for an extra baggage and the ticket price was $2000 CAD for one way flight. Flight was connected with Emirates flights delayed from Dhaka when my wife arrived at Dubai airport at Terminal 3. She can not see her flight number on the screen. After asking Emirates they told me that she need to go Terminal 1. There was nobody from Air Canada to give her any kind of instruction. After calling Air Canada customer service number they told me they are not physically present there they can not help my wife. Worst service and we will never take Air Canada in my life.;"""never take Air Canada""";"
2
";no;0
Not Verified |  I would like to share with you the lack of service from the flight from Toyko to Toronto. The flight was so cold we needed three blankets and we were still freezing. People were waiting hats and winter coats on board. Also when we arrived at Toronto airport we waited for over an hour and 45 minutes for our luggage to come through. Air Canada have clearly lost your capability of servicing customers and your organizational skills are appalling. Would never travel with Air Canada again. Shocking service.;"""never travel with Air Canada again""";"
2
";no;0
"Not Verified | I consider myself a patriotic Canadian, I always tried to fly Air Canada because I wanted to support our national airline even if it costed me few $$$ more than the other choices. I write this with great deal of pain that my flying experience with Air Canada in the recent past has been nothing but disappointing. My most recent trip to England (Jan 18th to 30th) for a family tragedy was the last straw. I will try to avoid flying Air Canada unless there is no other choice! My experience from start to end was very disappointing. The service on the plane was bare minimal. The food was horrible. I went to the back of the plane to use the washroom and spoke to the staff, I mentioned how bad the food was, I said people feed their pets better food than what we had, the buns were like plastic (I noticed most of the buns went to the garbage because people didn't/couldn't eat them, staff was very sympathetic, one of them nodded and said ""you should complain because they (AC management) don't listen to us"". On my return flight I had a layover in Toronto. They didn't offer anything let alone the garbage food they served on previous flights. They were even trying to sell the lousy earphones that would cost then no more than few pennies. They treated me as a domestic flyer despite they charged me over $1600 for a flight that should cost no more than $1000.";"""service was bare minimal""";"
2
";no;0
Not Verified | Called Air Canada from Frankfurt to change my flight, was not able to do this online. The customer service rep was incredible, she was able to assist me, after I tried to do it myself for over an hour online. This was the best customer service experience I have ever had from any airlines. This representative did what I couldn't do in a couple of minutes. I waited less than 5 minutes on hold, I will recommend Air Canada to my family, friends and everyone else.;"""best customer service experience""";"
10
";yes;2
✅ Trip Verified |  We are delayed by 3.5 hours, i missed my connection they have no idea what to do and no information to provide. Other airlines departed on time, the weather is good so its just incompetence of the Air Canada.;"""delayed by 3.5 hours"" ";"
1
";no;0
✅ Trip Verified | Terrible from start to finish. Hours and hours of delays because of “IT issues” hardly any updates. Why is this still happening? Don’t they have backup systems? I already avoid this carrier at all costs, next time I’ll force myself to try West Jet.;"""Terrible from start to finish""";"
2
";no;0
